"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
High renewables cost,"Energy Prices: Nominal: Electric Power: Uranium": High renewables cost,3-AEO2022.108.hirencst-d011322a,"nom $/MMBtu",,0.716664,0.73504,0.75032,0.768558,0.78922,0.809855,0.832932,0.855193,0.878583,0.901561,0.923672,0.946925,0.970628,0.993698,1.018563,1.044078,1.068774,1.095827,1.123349,1.152178,1.181621,1.211906,1.243055,1.274931,1.307482,1.340908,1.3751,1.410192,1.446312,1.483339,"2.5%"
Low renewables cost,"Energy Prices: Nominal: Electric Power: Uranium": Low renewables cost,3-AEO2022.108.lorencst-d011222a,"nom $/MMBtu",,0.716664,0.735012,0.750327,0.768492,0.789047,0.809633,0.83259,0.854767,0.878133,0.901166,0.923304,0.946453,0.97006,0.993098,1.017935,1.043403,1.068167,1.095228,1.122683,1.151586,1.1812,1.211585,1.24291,1.274921,1.307567,1.341137,1.375469,1.410835,1.447192,1.484657,"2.5%"
No Interstate Pipeline Builds,"Energy Prices: Nominal: Electric Power: Uranium": No Interstate Pipeline Builds,3-AEO2022.108.ng_iif_final-d011322a,"nom $/MMBtu",,0.716664,0.735049,0.750301,0.768416,0.788904,0.809458,0.83239,0.854549,0.877894,0.900921,0.923105,0.946428,0.970138,0.993151,1.018003,1.043353,1.067982,1.09486,1.122145,1.150787,1.180212,1.210538,1.241703,1.273607,1.306223,1.339795,1.374084,1.409328,1.445697,1.482826,"2.5%"
Average Price to All Users,,3-AEO2022.111.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Average Price to All Users: Propane",3-AEO2022.112.,"nom $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Nominal: Average Price to All Users: Propane": AEO2022 Reference case,3-AEO2022.112.ref2022-d011222a,"nom $/MMBtu",,17.856768,20.065269,19.868395,20.507078,20.921801,21.538347,22.422235,23.541332,24.603897,25.697483,26.791212,27.817327,28.865393,29.830055,30.728571,31.655399,32.635216,33.636829,34.565807,35.734669,36.857159,37.825813,38.962841,40.193634,41.250084,42.385323,43.500454,44.586864,45.604183,46.605186,"3.4%"
High economic growth,"Energy Prices: Nominal: Average Price to All Users: Propane": High economic growth,3-AEO2022.112.highmacro-d011622a,"nom $/MMBtu",,17.814316,19.825663,19.612221,20.225191,20.68321,21.285732,22.159273,23.174961,24.20993,25.28231,26.300089,27.383999,28.306746,29.136723,29.885153,30.608969,31.398243,32.120823,32.880283,33.767525,34.750145,35.751408,36.822559,37.787453,38.654747,39.648109,40.460766,41.310818,42.298782,43.306965,"3.1%"
Low economic growth,"Energy Prices: Nominal: Average Price to All Users: Propane": Low economic growth,3-AEO2022.112.lowmacro-d011222a,"nom $/MMBtu",,17.885155,20.073668,20.06739,20.820061,21.408503,22.20583,23.252232,24.57667,26.006784,27.403799,28.844582,30.248663,31.764322,33.16441,34.459259,35.753471,37.245827,38.843109,40.380035,42.218143,44.129353,46.076736,48.26833,50.442215,52.272285,53.86927,55.426392,57.09967,58.916458,60.636921,"4.3%"
High oil price,"Energy Prices: Nominal: Average Price to All Users: Propane": High oil price,3-AEO2022.112.highprice-d011222a,"nom $/MMBtu",,17.857622,23.593773,26.707758,28.997246,30.803326,32.52684,34.467991,36.738022,39.12801,41.497681,43.846027,46.16814,48.433807,50.552166,52.870029,55.215954,57.728809,60.432491,63.213364,66.258926,68.954796,71.643135,74.204956,76.557198,79.144096,81.56559,84.235909,86.826118,89.564163,92.340218,"5.8%"
Low oil price,"Energy Prices: Nominal: Average Price to All Users: Propane": Low oil price,3-AEO2022.112.lowprice-d011222a,"nom $/MMBtu",,17.85651,15.045738,14.169846,14.299761,14.489596,14.796021,15.085414,15.67115,16.219706,16.776489,17.354246,17.926834,18.550476,19.145962,19.862614,20.524572,21.122639,21.621643,22.100046,22.491213,22.897263,23.339659,23.760199,24.351868,24.916277,25.462303,25.993517,26.561697,27.122011,27.82407,"1.5%"
High oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Propane": High oil and gas supply,3-AEO2022.112.highogs-d011222a,"nom $/MMBtu",,17.856543,19.641611,19.080061,19.071714,19.051498,19.280848,19.719851,20.407705,21.244112,22.071484,22.890982,23.882042,24.95381,25.834032,26.583454,27.346973,28.211084,29.16503,29.990889,31.06201,31.976994,32.823875,33.656776,34.447075,35.214455,35.939625,36.537243,37.103065,37.859798,38.54517,"2.7%"
Low oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Propane": Low oil and gas supply,3-AEO2022.112.lowogs-d011222a,"nom $/MMBtu",,17.857033,20.500332,20.963848,22.499796,23.834011,25.18222,26.543514,28.013035,29.976519,31.681082,33.309216,34.844151,36.296387,37.647121,38.76833,40.101479,41.298149,42.582764,43.914474,45.03624,46.084358,47.104439,48.354816,49.892647,51.569984,53.161037,54.717724,56.194111,57.829426,59.355362,"4.2%"
High renewables cost,"Energy Prices: Nominal: Average Price to All Users: Propane": High renewables cost,3-AEO2022.112.hirencst-d011322a,"nom $/MMBtu",,17.856535,19.988924,19.868574,20.556015,21.05344,21.719246,22.638475,23.763685,24.915751,26.006258,27.101744,28.256622,29.349363,30.379652,31.298067,32.259289,33.211128,34.187,35.128746,36.304905,37.360615,38.345116,39.496281,40.750927,41.915607,43.177498,44.376617,45.466782,46.528156,47.599247,"3.4%"
Low renewables cost,"Energy Prices: Nominal: Average Price to All Users: Propane": Low renewables cost,3-AEO2022.112.lorencst-d011222a,"nom $/MMBtu",,17.857113,19.953194,19.856997,20.486332,20.91124,21.520525,22.35264,23.483961,24.575535,25.63434,26.640606,27.579182,28.589344,29.569489,30.474678,31.367088,32.336269,33.332443,34.248043,35.421181,36.616581,37.645466,38.704311,39.775799,40.736286,41.757496,42.795456,43.828491,44.750233,45.716358,"3.3%"
No Interstate Pipeline Builds,"Energy Prices: Nominal: Average Price to All Users: Propane": No Interstate Pipeline Builds,3-AEO2022.112.ng_iif_final-d011322a,"nom $/MMBtu",,17.856831,20.065699,19.8468,20.455721,20.857426,21.487885,22.389336,23.498638,24.627172,25.745371,26.856884,27.971424,29.002789,29.966774,30.890434,31.821226,32.815578,33.86095,34.739025,35.883083,37.077717,38.210014,39.399391,40.686459,41.91283,43.237919,44.482124,45.623653,46.759186,47.875782,"3.5%"
E85,"Energy Prices: Nominal: Average Price to All Users: E85",3-AEO2022.113.,"nom $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Nominal: Average Price to All Users: E85": AEO2022 Reference case,3-AEO2022.113.ref2022-d011222a,"nom $/MMBtu",,25.084902,25.690491,27.144222,27.488787,27.793215,28.757965,29.845814,30.932526,31.946009,33.539299,34.799007,36.013103,36.979774,38.278652,39.46983,40.366367,41.492203,42.951508,43.851273,45.212589,46.533802,47.638512,49.199112,50.819832,52.121857,53.770096,55.178677,56.291584,57.62743,58.904358,"3.0%"
High economic growth,"Energy Prices: Nominal: Average Price to All Users: E85": High economic growth,3-AEO2022.113.highmacro-d011622a,"nom $/MMBtu",,25.025581,25.421886,26.709322,27.546473,27.864096,28.753405,30.096695,30.881077,31.793657,33.424225,34.367214,35.56218,36.37714,37.177559,38.030285,38.815571,40.073391,41.061539,41.755424,42.678646,43.857403,45.03825,46.348698,47.217945,48.311085,49.458317,50.359222,51.528381,53.019199,54.159565,"2.7%"
Low economic growth,"Energy Prices: Nominal: Average Price to All Users: E85": Low economic growth,3-AEO2022.113.lowmacro-d011222a,"nom $/MMBtu",,25.12508,25.934126,27.252735,27.702295,28.276173,29.27849,30.675051,32.068176,33.411674,35.106232,36.354633,38.385571,39.920055,41.420822,42.937439,44.43158,46.203705,48.132778,49.680984,52.171688,54.403034,56.768631,59.411781,61.8428,64.137474,66.887939,69.257263,71.751183,74.35936,76.039345,"3.9%"
High oil price,"Energy Prices: Nominal: Average Price to All Users: E85": High oil price,3-AEO2022.113.highprice-d011222a,"nom $/MMBtu",,25.084902,40.448551,41.511703,42.954891,44.1675,46.649487,48.829433,50.977551,53.192245,54.989067,56.671921,59.044872,60.719105,63.588078,66.640694,69.307625,72.28215,74.910355,78.200096,81.082489,83.40242,86.816658,89.898285,92.458687,96.579514,99.502182,103.324814,107.049355,110.836754,115.047432,"5.4%"
Low oil price,"Energy Prices: Nominal: Average Price to All Users: E85": Low oil price,3-AEO2022.113.lowprice-d011222a,"nom $/MMBtu",,25.084902,23.250505,21.657194,21.389709,21.626251,22.028399,22.118849,22.924376,23.625298,24.329704,25.215124,26.005081,26.714224,27.280304,28.120497,29.258013,30.205154,31.597317,32.02248,32.61441,33.106277,33.898468,34.591949,35.55864,36.294338,37.175697,38.115597,38.978344,39.919003,40.969593,"1.7%"
High oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: E85": High oil and gas supply,3-AEO2022.113.highogs-d011222a,"nom $/MMBtu",,25.084902,25.683519,26.642107,26.304701,26.520517,27.403824,28.554276,29.32782,30.362877,31.669407,33.050461,34.202553,34.807808,36.033089,36.980965,37.549919,38.254738,39.943474,40.642094,42.818668,43.98447,45.067478,46.352211,47.497482,48.570827,49.47113,50.218552,51.510288,52.962887,54.410465,"2.7%"
Low oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: E85": Low oil and gas supply,3-AEO2022.113.lowogs-d011222a,"nom $/MMBtu",,25.084902,25.704388,27.036043,28.63484,29.546156,30.614794,31.847479,33.091366,35.05056,36.465679,37.658085,38.961449,40.08799,41.245369,42.152706,43.188026,44.348267,45.334431,46.533962,46.928734,47.709942,49.371513,50.953346,52.343346,54.321499,55.369396,56.638496,57.554214,59.393501,61.178295,"3.1%"
High renewables cost,"Energy Prices: Nominal: Average Price to All Users: E85": High renewables cost,3-AEO2022.113.hirencst-d011322a,"nom $/MMBtu",,25.084902,25.690491,26.977318,27.273554,27.604582,28.589724,29.709459,30.680655,31.800489,33.247879,34.458393,35.820324,36.630497,38.034275,39.284901,40.145607,41.24007,42.692154,43.568199,44.746693,46.058247,47.201794,48.805695,50.458256,51.834572,53.401619,54.791649,56.066364,56.87785,58.325165,"3.0%"
Low renewables cost,"Energy Prices: Nominal: Average Price to All Users: E85": Low renewables cost,3-AEO2022.113.lorencst-d011222a,"nom $/MMBtu",,25.084902,25.689514,27.221067,27.481916,27.781351,28.77284,29.821344,30.930941,32.021164,33.496521,34.800556,36.02449,36.988594,38.291409,39.352631,40.398174,41.593029,42.940315,43.924385,45.186279,46.50959,47.67627,49.204674,50.922024,52.296623,53.835522,55.217457,56.446541,57.755692,58.940636,"3.0%"
No Interstate Pipeline Builds,"Energy Prices: Nominal: Average Price to All Users: E85": No Interstate Pipeline Builds,3-AEO2022.113.ng_iif_final-d011322a,"nom $/MMBtu",,25.084902,25.690807,27.169661,27.504028,27.787714,28.809772,29.827827,30.935265,32.055279,33.539558,34.816067,36.088833,37.032703,38.36475,39.384369,40.420132,41.543644,43.023659,43.919678,45.222332,46.539722,47.609116,49.228912,50.971363,52.30159,53.821865,55.131199,56.703991,57.748707,59.026131,"3.0%"
Motor Gasoline,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline",3-AEO2022.114.,"nom $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": AEO2022 Reference case,3-AEO2022.114.ref2022-d011222a,"nom $/MMBtu",,25.556322,25.114944,22.64348,22.941193,23.190689,23.980282,24.866249,25.771652,26.616041,27.943504,28.957926,29.931999,30.772654,31.738222,32.573582,33.550179,34.527668,35.698792,36.490757,37.669189,38.758213,39.690361,40.990585,42.340904,43.42569,44.798931,45.9725,46.899723,48.012695,49.076572,"2.3%"
High economic growth,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": High economic growth,3-AEO2022.114.highmacro-d011622a,"nom $/MMBtu",,25.495886,24.852392,22.32065,22.751028,23.170216,23.821068,24.871838,25.522045,26.347542,27.66371,28.414324,29.406683,29.952703,30.760031,31.521156,32.245701,33.27216,34.06142,34.776268,35.51078,36.56599,37.573265,38.655968,39.385902,40.295059,41.267307,42.019028,42.963169,44.224392,45.16592,"2.0%"
Low economic growth,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Low economic growth,3-AEO2022.114.lowmacro-d011222a,"nom $/MMBtu",,25.597256,25.353098,22.776213,23.163399,23.636797,24.46776,25.607801,26.770737,27.892281,29.307035,30.349184,32.054379,33.333603,34.586758,35.853233,37.103283,38.579979,40.190712,41.483482,43.550217,45.412849,47.323139,49.538319,51.634647,53.54718,55.869175,57.83046,59.931305,62.109867,63.50724,"3.2%"
High oil price,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": High oil price,3-AEO2022.114.highprice-d011222a,"nom $/MMBtu",,25.556324,33.696735,34.614155,35.82761,36.833942,38.887402,40.685669,42.488533,44.317501,45.814529,47.216606,49.193645,50.588543,52.978859,55.522152,57.744137,60.222382,62.412094,65.152954,67.554451,69.48732,72.331917,74.899399,77.0326,80.472008,82.907234,86.085808,89.188919,92.344429,95.85257,"4.7%"
Low oil price,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Low oil price,3-AEO2022.114.lowprice-d011222a,"nom $/MMBtu",,25.556322,19.228235,18.071672,17.859367,18.052404,18.3734,18.428476,19.099604,19.612255,20.19701,20.932026,21.509857,22.103069,22.646412,23.372126,23.937593,24.569912,25.166178,25.504805,25.976265,26.368015,26.998962,27.5513,28.321238,28.907198,29.609169,30.357763,31.044918,31.794119,32.630878,"0.8%"
High oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": High oil and gas supply,3-AEO2022.114.highogs-d011222a,"nom $/MMBtu",,25.55632,25.108131,22.280277,22.005421,22.16464,22.826883,23.708021,24.451717,25.268961,26.291609,27.19298,28.156225,28.923744,29.664942,30.427303,31.193619,31.872635,32.86182,33.694298,35.131996,36.1394,37.054241,38.156326,39.199841,40.085171,41.202488,41.74625,42.728569,44.020973,45.234936,"2.0%"
Low oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Low oil and gas supply,3-AEO2022.114.lowogs-d011222a,"nom $/MMBtu",,25.556322,25.128532,22.58522,23.927727,24.685293,25.568331,26.579424,27.589584,29.249884,30.433142,31.425978,32.513851,33.453922,34.406872,35.145241,36.032421,36.978016,37.800312,38.811985,39.147106,39.802776,41.141727,42.456902,43.664749,45.286419,46.163795,47.220039,48.011387,49.546005,51.046211,"2.4%"
High renewables cost,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": High renewables cost,3-AEO2022.114.hirencst-d011322a,"nom $/MMBtu",,25.556322,25.114948,22.546436,22.800926,23.076633,23.881672,24.799681,25.610357,26.545198,27.753477,28.7381,29.836494,30.535587,31.535814,32.486465,33.414112,34.366558,35.510696,36.298759,37.306919,38.410431,39.378029,40.718983,42.079121,43.234001,44.540531,45.702858,46.73119,47.479763,48.681068,"2.2%"
Low renewables cost,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": Low renewables cost,3-AEO2022.114.lorencst-d011222a,"nom $/MMBtu",,25.55632,25.113989,22.707336,22.935289,23.180668,23.992605,24.845865,25.770325,26.678659,27.907867,28.959221,29.94146,30.779997,31.748798,32.628693,33.576607,34.611561,35.689491,36.551598,37.64727,38.749798,39.721825,40.995216,42.426041,43.571301,44.853447,46.004814,47.028831,48.119564,49.106808,"2.3%"
No Interstate Pipeline Builds,"Energy Prices: Nominal: Average Price to All Users: Motor Gasoline": No Interstate Pipeline Builds,3-AEO2022.114.ng_iif_final-d011322a,"nom $/MMBtu",,25.556322,25.115253,22.664921,22.954222,23.186392,24.023613,24.851265,25.773935,26.707079,27.94372,28.972126,29.994938,30.816702,31.80961,32.655014,33.594864,34.570477,35.758762,36.547684,37.677303,38.774902,39.665871,41.015415,42.467155,43.575439,44.842068,45.932949,47.243328,48.11375,49.17804,"2.3%"
Jet Fuel,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel",3-AEO2022.115.,"nom $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": AEO2022 Reference case,3-AEO2022.115.ref2022-d011222a,"nom $/MMBtu",,14.612163,15.494843,14.667245,16.164389,16.548378,17.081522,17.770975,18.537687,19.179626,19.597542,20.522646,21.213511,21.851046,22.467815,23.13464,23.937424,24.828661,25.618376,26.317949,27.144209,27.968201,28.655415,29.767689,30.966354,31.852169,32.934002,33.827522,34.552788,35.437393,36.101822,"3.2%"
High economic growth,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": High economic growth,3-AEO2022.115.highmacro-d011622a,"nom $/MMBtu",,14.577607,15.332837,14.123944,15.783436,16.182106,16.728106,17.548296,18.124981,18.662376,19.352282,20.039808,20.81531,21.2962,21.878841,22.538837,23.049643,23.918221,24.578615,25.212385,25.766731,26.693779,27.479118,28.467093,29.097084,29.810862,30.631006,31.208195,31.838926,32.685932,33.440338,"2.9%"
Low economic growth,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Low economic growth,3-AEO2022.115.lowmacro-d011222a,"nom $/MMBtu",,14.635567,15.641787,14.622989,16.177591,16.784298,17.473375,18.338568,19.245461,20.099134,20.78808,21.864325,22.888216,23.712036,24.56275,25.337275,26.261364,27.542286,28.736607,29.793688,31.291815,32.742691,34.036316,35.817425,37.638893,38.945599,40.638409,41.959167,43.254276,44.94342,46.121666,"4.0%"
High oil price,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": High oil price,3-AEO2022.115.highprice-d011222a,"nom $/MMBtu",,14.612163,24.097292,26.143751,28.072168,29.370317,31.0357,32.445232,34.092655,35.671276,37.012386,38.068619,39.708546,41.302025,43.394665,45.666706,48.463688,51.176647,52.899422,55.498905,57.859661,59.934086,62.627701,65.086174,67.292465,70.121544,72.542519,75.486053,78.32663,81.042191,83.883537,"6.2%"
Low oil price,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Low oil price,3-AEO2022.115.lowprice-d011222a,"nom $/MMBtu",,14.612163,8.930199,9.02429,9.447721,9.676371,9.963869,9.949474,10.501281,10.816532,11.204908,11.539415,11.895446,12.343471,12.599781,13.214193,13.590344,13.932376,14.132493,14.471505,14.674204,14.934793,15.229179,15.504616,16.002464,16.36422,16.741837,17.040922,17.431973,17.714415,18.335535,"0.8%"
High oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": High oil and gas supply,3-AEO2022.115.highogs-d011222a,"nom $/MMBtu",,14.612163,15.490637,14.215667,15.031137,15.307252,15.839358,16.530293,17.270363,17.923571,18.356388,19.018173,19.708231,20.207079,20.532936,21.092524,21.583637,22.174753,22.960173,23.499096,24.609819,25.418367,25.986212,27.116947,27.951187,28.668036,29.676535,30.075773,30.800518,31.869379,32.719418,"2.8%"
Low oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Low oil and gas supply,3-AEO2022.115.lowogs-d011222a,"nom $/MMBtu",,14.612163,15.503224,14.606702,16.438053,17.257816,17.948912,18.716747,19.810272,21.419378,22.157806,23.124798,23.969416,24.730867,25.375923,25.91721,26.634014,27.525738,28.180958,28.920807,29.08688,29.698425,30.491671,31.631672,32.664776,34.021027,35.010159,35.986721,36.56464,37.533054,38.590038,"3.4%"
High renewables cost,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": High renewables cost,3-AEO2022.115.hirencst-d011322a,"nom $/MMBtu",,14.612163,15.494843,14.503814,16.038658,16.469454,16.950123,17.685738,18.380875,18.989233,19.417917,20.302269,21.129335,21.642569,22.336807,23.008926,23.833471,24.679632,25.461485,26.133278,26.919516,27.707674,28.45359,29.535461,30.575382,31.461487,32.511181,33.359005,34.120892,34.882481,35.668575,"3.1%"
Low renewables cost,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": Low renewables cost,3-AEO2022.115.lorencst-d011222a,"nom $/MMBtu",,14.612163,15.494254,14.662171,16.144981,16.569519,17.089714,17.776451,18.548117,19.162848,19.508131,20.494564,21.054308,21.798626,22.46434,23.146629,23.956312,24.859257,25.61923,26.279598,27.209736,28.058214,28.787455,29.80636,31.016838,31.919689,32.992756,33.798878,34.57555,35.465607,36.123238,"3.2%"
No Interstate Pipeline Builds,"Energy Prices: Nominal: Average Price to All Users: Jet Fuel": No Interstate Pipeline Builds,3-AEO2022.115.ng_iif_final-d011322a,"nom $/MMBtu",,14.612163,15.495032,14.681672,16.153643,16.564041,17.087301,17.784191,18.545151,19.157839,19.485113,20.469543,21.152765,21.8654,22.537191,23.144554,23.91161,24.828003,25.619173,26.302584,27.226889,28.025116,28.719791,29.771065,30.909521,31.804546,32.865208,33.762115,34.460812,35.32159,36.073887,"3.2%"
Distillate Fuel Oil,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil",3-AEO2022.116.,"nom $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": AEO2022 Reference case,3-AEO2022.116.ref2022-d011222a,"nom $/MMBtu",,22.645393,22.502026,21.959423,23.201639,23.631643,24.10606,24.701429,25.5291,26.28853,26.845648,27.786747,28.518244,29.250862,29.937351,30.717403,31.620991,32.614193,33.517868,34.351223,35.433113,36.397259,37.228344,38.500717,39.836983,40.890778,42.123466,43.163525,44.049282,44.976524,45.827801,"2.5%"
High economic growth,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": High economic growth,3-AEO2022.116.highmacro-d011622a,"nom $/MMBtu",,22.591829,22.273754,21.417156,22.683735,23.050812,23.503252,24.233126,24.877785,25.539782,26.292578,27.017685,27.836615,28.391178,29.075579,29.7876,30.423538,31.348942,32.074821,32.779202,33.487514,34.542091,35.424587,36.516315,37.238186,38.064209,39.019283,39.704498,40.476231,41.470486,42.303967,"2.2%"
Low economic growth,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Low economic growth,3-AEO2022.116.lowmacro-d011222a,"nom $/MMBtu",,22.681646,22.726309,22.068026,23.404757,24.10074,24.780672,25.648335,26.65933,27.710142,28.588755,29.721003,30.818512,31.911966,32.88625,33.980171,35.118153,36.533939,37.945107,39.185139,41.019291,42.723011,44.336311,46.339657,48.398296,50.077118,52.183254,53.84362,55.39492,57.357605,58.777851,"3.3%"
High oil price,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": High oil price,3-AEO2022.116.highprice-d011222a,"nom $/MMBtu",,22.645443,31.172558,33.410881,35.547401,36.930908,38.605476,40.099525,41.893635,43.699982,45.145168,46.262318,48.05183,49.937126,52.29528,54.785725,57.767899,60.696224,62.724007,65.588226,68.169685,70.458099,73.389961,76.097534,78.592499,81.601501,84.309578,87.375183,90.400566,93.292854,96.368668,"5.1%"
Low oil price,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Low oil price,3-AEO2022.116.lowprice-d011222a,"nom $/MMBtu",,22.645468,16.421896,16.682423,17.017586,17.258747,17.39731,17.39999,17.999073,18.399115,18.908459,19.346922,19.780306,20.308901,20.667482,21.36698,21.710667,22.126928,22.305101,22.667171,23.015482,23.396639,23.751589,24.155109,24.766369,25.238741,25.769375,26.261267,26.849443,27.307703,28.157022,"0.8%"
High oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": High oil and gas supply,3-AEO2022.116.highogs-d011222a,"nom $/MMBtu",,22.645378,22.502581,21.462336,22.167475,22.510565,23.001097,23.682644,24.494265,25.242208,25.822067,26.532446,27.290705,28.018898,28.497358,29.165937,29.847818,30.58914,31.401335,32.12635,33.354515,34.3367,35.120598,36.313732,37.296177,38.15155,39.379196,39.907848,40.752422,41.886528,42.744884,"2.2%"
Low oil and gas supply,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": Low oil and gas supply,3-AEO2022.116.lowogs-d011222a,"nom $/MMBtu",,22.645395,22.520565,21.882406,23.507204,24.316467,24.968479,25.712339,26.813473,28.435663,29.251665,30.169079,31.02928,31.840816,32.619442,33.263626,34.064014,35.01421,35.762691,36.61858,36.807491,37.510033,38.425507,39.705013,40.913631,42.406132,43.530685,44.634357,45.378033,46.469269,47.802326,"2.6%"
High renewables cost,"Energy Prices: Nominal: Average Price to All Users: Distillate Fuel Oil": High renewables cost,3-AEO2022.116.hirencst-d011322a,"nom $/MMBtu",,22.645391,22.508497,21.793571,23.073509,23.549877,23.967394,24.618612,25.3797,26.102011,26.709995,27.591675,28.432257,29.040937,29.769699,30.605577,31.535864,32.484089,33.399807,34.180183,35.164696,36.142673,37.045532,38.250572,39.472832,40.476974,41.723972,42.722099,43.59108,44.475357,45.418213,"2.4%"
